Brand,Model,Release Date,Sensor,DPI,Button,Connection,RGB,Length (mm),Width (mm),Height (mm),Weight (g),Price (USD)
Logitech,G Pro X Superlight Wireless,Nov-2020,HERO 25K,25400,5,Wireless,No,125,63.5,40,63,$149.99
Pwnage,Ultra Custom Wireless Symm 1,Nov-2020,PixArt PAW3335,16000,6,Wireless,No,120,60,38,72|77,$79.99
Sharkoon,Light² S,Nov-2020,PixArt PAW3327,6200,8,Wired,Yes,126,66,40,78,$24.99
ROCCAT,Burst Core,Nov-2020,Owl-Eye (PMW3331),8500,6,Wired,Yes,120,58,38.7,68,$29.99
Glorious,Model O Wireless,Nov-2020,BAMF,19000,6,Wireless,Yes,128,66,37.5,69,$79.99
Cooler Master,MM720,Oct-2020,PixArt PMW3389,16000,6,Wired,Yes,105.42,76.52,37.35,49,$49.99
ROCCAT,Burst Pro,Oct-2020,Owl-Eye (PMW3389),16000,6,Wired,Yes,120,58,38.7,68,$59.99
SteelSeries,Aerox 3 Wireless,Oct-2020,TrueMove Air,18000,6,Wireless,Yes,120.55,57.91,21.53,66,$109.99
SteelSeries,Aerox 3,Oct-2020,TrueMove Core,8500,6,Wired,Yes,120.55,57.91,21.53,57,$69.99
HyperX,Pulsefire Haste,Oct-2020,PixArt PAW3335,16000,6,Wired,Yes,124.2,66.8,38.2,59,$49.99
Corsair,KATAR PRO,Oct-2020,PixArt PMW3327,12400,6,Wired,Yes,115.8,64.2,37.8,69,
Corsair,KATAR PRO Wireless,Oct-2020,PixArt PMW3325,10000,6,Wireless,Yes,115.8,64.2,37.8,96,$39.99
Ducky,Feather,Oct-2020,PixArt PMW3389,16000,7,Wired,Yes,124,59,36,65,$65
Endgame Gear,XM1 RGB,Sep-2020,PixArt PMW3389,16000,5,Wired,Yes,122.14,65.81,38.26,82,$69.99
SteelSeries,Rival 3 Wireless,Sep-2020,SteelSeries TrueMove Air,18000,6,Wireless,Yes,120.6,58.3,21.5,106,$59.99
Razer,Naga Pro,Sep-2020,Razer Focus+,20000,20,Wireless,Yes,119,74.5,39,117,$149.99
VAXEE,ZYGEN NP-01,Aug-2020,PixArt PMW3389,3200,5,Wired,No,120,66,39,75,$59.99
Sharkoon,Light² 100,Jul-2020,PixArt PMW3325,5000,6,Wired,Yes,120,66,42,78,$24.99
Razer,DeathAdder V2 Mini,Jul-2020,N/A,8500,6,Wired,Yes,114.2,65.4,38.5,62,$49.99
ZOWIE,FK1+-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,129,69,39,86,$69.99
ZOWIE,FK1-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,129,67,37,84,$69.99
ZOWIE,FK2-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,125,65,36,80,$69.99
ZOWIE,ZA11-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,129,67,42,82,$69.99
ZOWIE,ZA12-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,125,65,41,78,$69.99
ZOWIE,ZA13-B,Jun-2020,PixArt PMW3360,3200,5,Wired,No,121,63,40,75,$69.99
Glorious,Model D Minus,Jun-2020,PixArt PMW3360,12000,6,Wired,Yes,120,67,40,61|62,$49.99
